IdSupplier	OriginalSupplierName	SupplierName
42	A. P. LINOSSIER & ASSOCIATES PTY. LTD.	A. P. LINOSSIER & ASSOCIATES
43	A.A. RADIO SERVICES PTY. LTD.	A.A. RADIO SERVICES
44	A.C.N. 072 335 963 PTY LTD	A.C.N. 072 335 963
45	A.C.T. DISTRIBUTION PTY. LTD.	A.C.T. DISTRIBUTION
46	A.J.D.M. DISTRIBUTORS PTY LTD	A.J.D.M. DISTRIBUTORS
47	A.J.F. ELECTRICAL DISTRIBUTORS PTY. LTD.	A.J.F. ELECTRICAL DISTRIBUTORS
48	A.K.S MANAGEMENT SERVICES PTY LTD	A.K.S MANAGEMENT SERVICES
49	A.M BRANDIS & T.J KALINOWSKI	A.M BRANDIS & T.J KALINOWSKI
50	A.M.T. ELECTRONICS PTY. LTD.	A.M.T. ELECTRONICS
51	A.P.S. PLASTICS PTY LTD	A.P.S. PLASTICS
52	A.R.M. IMAGES PTY. LTD.	A.R.M. IMAGES
53	A.V. PRO-AUDIO VISUAL PTY LTD	A.V. PRO-AUDIO VISUAL
54	AA ABSOLUTE ACCESS	AA ABSOLUTE ACCESS
55	AAA TEAM PTY LTD	AAA TEAM
56	AAB EQUIPMENT PTY LTD	AAB EQUIPMENT
57	AAMHATCH PTY LTD	AAMHATCH
58	AAPT LIMITED	AAPT
59	AARNET PTY LTD	AARNET
60	AAROMBA TECHNOLOGIES PTY. LTD.	AAROMBA TECHNOLOGIES
61	AARQUE ANITECH PTY LTD	ANITECH
62	AAS CONSULTING PTY LTD	AAS CONSULTING
63	AASTRA TELECOM INC.	AASTRA TELECOM
64	AB & ASSOCIATES PTY LTD	AB & ASSOCIATES
65	AB SCIEX AUSTRALIA PTY LTD	AB SCIEX
66	AB&T SYSTEMS	CYBER DATA COMPUTING
67	ABACUS CALCULATORS PTY LTD	ABACUS CALCULATORS
68	ABACUS RENT IT PTY LTD	ABACUS RENT IT
69	ABAQUS AUSTRALIA PTY LTD	ABAQUS
70	ABB AUSTRALIA PTY LTD	ABB
71	ABBEY HOTEL	ABBEY HOTEL
72	ABDITECH PTY LIMITED	ABDITECH
73	ABILITY	ABILITY
74	ABLE BUSINESS MACHINES	ABLE BUSINESS MACHINES
75	ABLE INDUSTRIES ENGINEERING PTY LTD	ABLE INDUSTRIES ENGINEERING
76	ABLED DISABLED	ABLED DISABLED
77	ABLEOWL EXCEL SPECIALISTS	ABLEOWL EXCEL SPECIALISTS
78	ABM SYSTEMS AUSTRALIA PTY LTD	ABM SYSTEMS
79	ABM TECHNOLOGIES AUSTRALIA PTY LTD	ABM TECHNOLOGIES
80	ABRAXAS TECHNOLOGIES PTY LTD	ABRAXAS TECHNOLOGIES
81	ABS TRUST	ABS TRUST
82	ABSALOM SYSTEMS AUSTRALIA PTY LTD	ABSALOM SYSTEMS
83	ABSOLUTE AUDIO VISUAL	ABSOLUTE AUDIO VISUAL
84	ABSOLUTE CABLING SYSTEMS PTY LTD	ABSOLUTE CABLING SYSTEMS
85	ABSOLUTE COMPUTING PTY LTD	ABSOLUTE COMPUTING
86	ABSOLUTE DATA GROUP PTY LTD	ABSOLUTE DATA GROUP
87	ABSOLUTE PM PTY LTD	ABSOLUTE PM
88	ABSOLUTE SOFTWARE AUSTRALIA PTY LTD	ABSOLUTE SOFTWARE
89	ABSOLUTE TRAINING PROFESSIONALS PTY LTD	ABSOLUTE TRAINING PROFESSIONALS
90	ABSTRACT INVESTMENTS (WA) PTY LTD	ABSTRACT INVESTMENTS (WA)
91	ABUZZ SOLUTIONS PTY LTD	ABUZZ SOLUTIONS
92	ABUZZ TECHNOLOGIES PTY LTD	ABUZZ SOLUTIONS
93	AC COMMUNICATIONS PTY. LTD.	AC COMMUNICATIONS
94	ACA PACIFIC PTY LTD	ACA PACIFIC
95	ACA PACIFIC PTY. LTD.	ACA PACIFIC
96	ACAA	ACAA
97	ACACIA COMPUTING PTY LTD	ACACIA COMPUTING
98	ACACIA CRE PTY LTD	ACACIA CRE
99	ACACIA RESEARCH PTY LTD	ACACIA RESEARCH
100	ACADEMY OF INTERACTIVE ENTERTAINMENT LIM	ACADEMY OF INTERACTIVE ENTERTAINMENT
101	ACC COMPUTERS PTY LTD	ACC COMPUTERS
102	ACCELERATION GROUP PTY LTD	ACCELERATION GROUP
103	ACCELEWARE	ACCELEWARE
104	ACCENT COMMUNICATIONS	ACCENT COMMUNICATIONS
105	ACCENT OFFICE SOLUTIONS	ACCENT OFFICE SOLUTIONS
106	ACCENTURE AUSTRALIA HOLDINGS PTY LTD	ACCENTURE
107	ACCESS AUSTRALIA CMC PTY LTD	ACCESS AUSTRALIA CMC
108	ACCESS CONTROL ENGINEERED SYSTEMS PTY LTD	ACCESS CONTROL ENGINEERED SYSTEMS
109	ACCESS DATA COMMUNICATIONS PTY LTD	ACCESS DATA COMMUNICATIONS
110	ACCESS ECONOMICS UNIT TRUST	ACCESS ECONOMICS UNIT TRUST
111	ACCESS KEYBOARDS LTD.	ACCESS KEYBOARDS LTD.
112	ACCESS MACQUARIE LIMITED	ACCESS MACQUARIE
113	ACCESS OFFICE SYSTEMS (BRISBANE) PTY LTD	ACCESS OFFICE SYSTEMS (BRISBANE)
114	ACCESS TESTING PTY LTD	ACCESS TESTING
115	ACCESSDATA CORP	ACCESSDATA CORP
116	ACCESSITY PTY LTD	ACCESSITY
117	ACCPAC AUSTRALIA PACIFIC INC	ACCPAC AUSTRALIA PACIFIC
118	ACCRA CORPORATION	ACCRA CORPORATION
119	ACCUCOM SYSTEMS INTEGRATION PTY. LIMITED	ACCUCOM SYSTEMS INTEGRATION
120	ACCURATE WEIGHING MACHINES PTY. LTD.	ACCURATE WEIGHING MACHINES
121	ACE BUSINESS PRODUCTS	ACE BUSINESS PRODUCTS
122	ACE CABLING & TELECOMMUNICATIONS	ACE CABLING & TELECOMMUNICATIONS
123	ACER COMPUTER AUSTRALIA PTY. LIMITED	ACER
124	ACHIEVE - TRAINING; EMPLOYMENT AND BUSINESS SOLUTIONS PTY LTD	ACHIEVE - TRAINING; EMPLOYMENT AND BUSINESS SOLUTIONS
125	ACIS PTY LTD	OFFICELINK +
126	ACL SYSTEMS AUSTRALIA PTY LTD	ACL SYSTEMS
127	ACONEX PTY LTD	ACONEX
128	ACORN TRAINING SERVICES PTY LTD	ACORN TRAINING SERVICES
129	ACOUSTIC DIRECTIONS PTY LTD	ACOUSTIC DIRECTIONS
130	ACOUSTIC IMAGING PTY LTD	ACOUSTIC IMAGING
131	ACOUSTIC TECHNOLOGIES PROPRIETARY LIMITED	ACOUSTIC TECHNOLOGIES
132	ACP SOLUTIONS PTY LTD	ACP SOLUTIONS
133	ACQIRIS	ACQIRIS
134	ACQUISTION SERVICES CONSULTING	ACQUISTION SERVICES CONSULTING
135	ACROAMATICS INC	ACROAMATICS
136	ACROBAT INSTRUMENTS PTY LTD	ACROBAT INSTRUMENTS
137	ACROSS BUSINESS CONSULTING PTY LTD	ACROSS BUSINESS CONSULTING
138	ACS TELECOMM	ACS TELECOMM
139	ACSPRO PTY LTD	ACSPRO
140	ACT ESSENTIAL BUSINESS SERVICES	ACT ESSENTIAL BUSINESS SERVICES
141	ACT TELECONFERENCING PTY. LTD.	ACT TELECONFERENCING
142	ACT TELEPHONES	ACT TELEPHONES
143	ACT TODAY	ACT TODAY
144	ACTERNA ASIA PACIFIC PTY LTD	ACTERNA ASIA PACIFIC
145	ACTION AV PTY LTD	ACTION AV
146	ACTION COPIERS	ACTION COPIERS
147	ACTION OFFICE MACHINES	ACTION OFFICE MACHINES
148	ACTIVA PTY. LIMITED	ACTIVA
149	ACTIVE IDEAS PTY LTD	ACTIVE IDEAS
150	ACTIVE TECHNOLOGY	ACTIVE TECHNOLOGY
151	ACTIVE VOICE LLC	ACTIVE VOICE
152	ACTIVEDOCS INTERNATIONAL LTD	ACTIVEDOCS INTERNATIONAL
153	ACTIVIDENTITY (AUSTRALIA) PTY LTD	ACTIVIDENTITY
154	ACTNOW ACCOUNTING PTY LTD	ACTNOW ACCOUNTING
155	ACTTECH PTY LTD	ACTTECH
156	ACTUATE ASIA PACIFIC PTY LIMITED	ACTUATE
157	ACTUATE PTY LTD	ACTUATE
158	ACUCORP INC	ACUCORP
159	ACUMEN ALLIANCE (ACT) PTY LIMITED	ACUMEN ALLIANCE
160	ACUMEN ALLIANCE (NSW) PTY LIMITED	ACUMEN ALLIANCE
161	ACUMEN ALLIANCE (VIC) PTY LIMITED	ACUMEN ALLIANCE
162	ACUMEN BUSINESS SOLUTIONS (ACT) PTY LIMITED	ACUMEN BUSINESS SOLUTIONS
163	ACUMEN CONTRACTING & RECRUITMENT PTY LTD	ACUMEN CONTRACTING & RECRUITMENT
164	ACURE TECHNOLOGY PTY LTD	ACURE TECHNOLOGY
165	ACXIOM AUSTRALIA PTY LIMITED	ACXIOM
166	ADA CAD PARTNERS PTY. LTD.	ADA CAD PARTNERS
167	ADACEL TECHNOLOGIES LIMITED	ADACEL TECHNOLOGIES
168	"ADAMS, CAMERON ANTHONY"	"ADAMS, CAMERON ANTHONY"
169	ADAPTA BUSINESS PRODUCTS	ADAPTA BUSINESS PRODUCTS
170	ADC COMMUNICATIONS (AUSTRALIA) PTY LIMITED	ADC COMMUNICATIONS
171	ADCORP AUSTRALIA LTD	ADCORP
172	ADD-COM PTY LTD	ACOUSTIC INNOVATIONS
173	ADDAMARK TECHNOLOGIES INC	ADDAMARK TECHNOLOGIES
174	ADDIS COMPUTER SERVICES PTY. LTD.	ADDIS COMPUTER SERVICES
175	ADDSOFT PTY. LTD.	ADDSOFT
176	ADEC PREVIEW SOLUTIONS PTY LTD	ADEC PREVIEW SOLUTIONS
177	ADECCO SERVICES PTY LTD	ADECCO
178	ADECS COMPUTERS PTY LTD	ADECS COMPUTERS
179	ADELAIDE BINDING & BUSINESS EQUIPMENT	ADELAIDE BINDING & BUSINESS EQUIPMENT
180	ADELAIDE ONLINE COMPUTERS	ADELAIDE ONLINE COMPUTERS
181	ADELAIDE RECHARGE	ADELAIDE RECHARGE
182	ADELARD	ADELARD
183	ADELONG COMPUTERS	ADELONG COMPUTERS
184	ADEPT ASSOCIATES PTY LTD	ADEPT ASSOCIATES
185	ADEPT ELECTRONIC SOLUTIONS PTY LTD	ADEPT ELECTRONIC SOLUTIONS
186	ADEPT KM PTY LTD	ADEPT KM
187	ADF SOLUTIONS INC.	ADF SOLUTIONS
188	"ADHAMI, KOUSHIAR"	DESIGN AND BUILD THIS
189	ADI LIMITED	ADI
190	ADIMEX PTY LTD	ADIMEX
191	ADL INDUSTRIES	ADL INDUSTRIES
192	ADMINISTRATION OF NORFOLK ISLAND	ADMINISTRATION OF NORFOLK ISLAND
193	ADMINISTRATIVE AID PTY LTD	ADMINISTRATIVE AID
194	ADMINISTRATIVE APPEALS TRIBUNAL	ADMINISTRATIVE APPEALS TRIBUNAL
195	ADMINTRACK	ADMINTRACK
196	ADMORE PTY LTD	ADMORE
197	ADNET TECHNOLOGY AUSTRALIA PTY LIMITED	ADNET TECHNOLOGY
198	ADOBE SYSTEMS PTY LTD	ADOBE
199	ADRENALIN COMPUTERS & SOFTWARE	ADRENALIN COMPUTERS & SOFTWARE
200	ADT	ADT
201	ADTEC COMMUNICATIONS PTY. LTD.	ADTEC COMMUNICATIONS
202	ADVA TEL	ADVA TEL
203	ADVANCE SOFTWARE GROUP	ADVANCE SOFTWARE GROUP
204	ADVANCE SUPPLIER PTY LTD	ADVANCE SUPPLIER
205	ADVANCE VISION TECHNOLOGY PTY LTD	ADVANCE VISION TECHNOLOGY
206	ADVANCED AUDIO	ADVANCED AUDIO
207	ADVANCED AUDIO VISUALS (AUST.) PTY LTD	ADVANCED AUDIO VISUALS
208	ADVANCED BUILDING TECHNOLOGIES GROUP PTY LTD	ADVANCED BUILDING TECHNOLOGIES GROUP
209	ADVANCED CAM PTY LTD	ADVANCED CAM
210	ADVANCED CD & PRINT PTY LIMITED	ADVANCED CD & PRINT
211	ADVANCED COMMUNICATIONS AUSTRALIA PTY LIMITED	ADVANCED COMMUNICATIONS
212	ADVANCED COMPONENT DISTRIBUTORS PTY	ADVANCED COMPONENT DISTRIBUTORS
213	ADVANCED COMPUTING SOLUTIONS PTY LTD	ADVANCED COMPUTING SOLUTIONS
214	ADVANCED ELECTRICAL EQUIPMENT PTY	ADVANCED ELECTRICAL EQUIPMENT
215	ADVANCED GAMING SYSTEMS INC	ADVANCED GAMING SYSTEMS
216	ADVANCED INSTRUMENTATION PTY LTD	ADVANCED INSTRUMENTATION
217	ADVANCED MESSAGING TECHNOLOGIES PTY LTD	ADVANCED MESSAGING TECHNOLOGIES
218	ADVANCED MGT TECHNOLOGY SOFTWARE	ADVANCED MGT TECHNOLOGY SOFTWARE
219	ADVANCED MICRO PERIPHERALS LTD	ADVANCED MICRO PERIPHERALS
220	ADVANCED OFFICE MACHINES	ADVANCED OFFICE MACHINES
221	ADVANCED PROGRAMMING CONCEPTS INC	ADVANCED PROGRAMMING CONCEPTS
222	"ADVANCED PROGRAMS, INC"	ADVANCED PROGRAMS
223	ADVANCED RECORDS MANAGEMENT	ADVANCED RECORDS MANAGEMENT
224	ADVANCED ROTORCRAFT TECHNOLOGY INC	ADVANCED ROTORCRAFT TECHNOLOGY
225	ADVANCED SIMULATION TECHNOLOGY	ADVANCED SIMULATION TECHNOLOGY
226	ADVANCED SOLUTIONS INTERNATIONAL (ASIA-PACIFIC) PTY LTD	ADVANCED SOLUTIONS INTERNATIONAL (ASIA-PACIFIC)
227	ADVANCED SYSTEMS PTY LTD	ADVANCED SYSTEMS
228	ADVANCED TECHNICAL SOLUTIONS PTY LIMITED	ADVANCED TECHNICAL SOLUTIONS
229	ADVANCED TECHNOLOGY PRODUCTS	ADVANCED TECHNOLOGY PRODUCTS
230	ADVANCED TECHNOLOGY TRAINING	ADVANCED TECHNOLOGY TRAINING
231	ADVANCED TRAINING	ADVANCED TRAINING
232	ADVANCED TRAINING PTY LTD	ADVANCED TRAINING
233	ADVANCED USER SYSTEMS PTY LTD	ADVANCED USER SYSTEMS
234	ADVANCED VIDEO INTEGRATION PTY LTD	ADVANCED VIDEO INTEGRATION
235	ADVANCED VISUAL DESIGN PTY LTD & THE ADVANCED VISUAL DESIGN TRUST	ADVANCED VISUAL DESIGN
236	ADVANCED VTOL TECHNOLOGIES	ADVANCED VTOL TECHNOLOGIES
237	ADVANSYS SOLUTIONS LTD	ADVANSYS SOLUTIONS
238	ADVANTAGE IT SOLUTIONS & SUPPLIES PTY LTD	ADVANTAGE IT SOLUTIONS & SUPPLIES
239	ADVANTAGE SOFTWARE	ADVANTAGE SOFTWARE
240	ADVANTAGE TELCOM	ADVANTAGE TELCOM
241	ADVANTECH AUSTRALIA PTY LIMITED	ADVANTECH
242	ADVANTEDGE BUSINESS SOLUTIONS PTY LTD	ADVANTEDGE BUSINESS SOLUTIONS
243	ADVENT ONE PTY LTD	ADVENT ONE
244	ADVINNO TECHNOLOGIES PRIVATE LTD	ADVINNO TECHNOLOGIES PRIVATE
245	AEC SYSTEMS PTY. LTD.	AEC SYSTEMS
246	AECOM AUSTRALIA PTY LTD	AECOM
247	AEGIS SOFTWARE INC.	AEGIS SOFTWARE
248	AEGIS TECHNOLOGIES GROUP	AEGIS TECHNOLOGIES GROUP
249	AELITA SOFTWARE CORPORATION	AELITA SOFTWARE CORPORATION
250	AERO & MILITARY PRODUCTS PTY. LTD.	AERO & MILITARY PRODUCTS
251	AERO SYSTEMS ENGINEERING INC.	AERO SYSTEMS ENGINEERING
252	"AEROCOMPUTERS, INC"	AEROCOMPUTERS
253	AERONAUT INDUSTRIES PTY LTD	AERONAUT INDUSTRIES
254	AEROSPACE & DEFENCE PRODUCTS	AEROSPACE & DEFENCE PRODUCTS
255	AEROSTRUCTURES TECHNOLOGIES PTY LTD	AEROSTRUCTURES TECHNOLOGIES
256	AEROTECH TELUB	AEROTECH TELUB
257	AES GROUP AUST PTY LTD	AES GROUP
258	AFC GROUP PTY. LTD.	AFC GROUP
259	AFFINITEXT	AFFINITEXT
260	AFFINITY CONSTRUCTION MANAGEMENT PTY LTD	AFFINITY CONSTRUCTION MANAGEMENT
261	AFFINITY IT RECRUITMENT PTY LIMITED	AFFINITY IT RECRUITMENT
262	AFS COMPUTER FORENSICS	AFS COMPUTER FORENSICS
263	AFW TECHNOLOGIES PTY LTD	AFW TECHNOLOGIES
264	AGCC	AGCC
265	AGENT ORIENTED SOFTWARE PTY LTD	AGENT ORIENTED SOFTWARE
266	AGFA-GEVAERT LTD	AGFA-GEVAERT
267	AGGMEDIA PTY LTD	AGGMEDIA
268	AGILE CONSULTING PTY LIMITED	AGILE CONSULTING
269	AGILE DIGITAL ENGINEERING PTY LTD	AGILE DIGITAL ENGINEERING
270	AGILEDELTA INC.	AGILEDELTA
271	AGILENT TECHNOLOGIES AUSTRALIA PTY LTD	AGILENT TECHNOLOGIES
272	AGILEWARE PTY LTD	AGILEWARE
273	AGILITY CONSULTING PTY LTD	AGILITY CONSULTING
274	AGILTRON INC	AGILTRON
275	AGIMA COMPUTING PTY. LIMITED	AGIMA COMPUTING
276	AGIRE PTY LTD	AGIRE
277	AGN COMPUTER TECHNOLOGY	AGN COMPUTER TECHNOLOGY
278	AGREON PTY LTD	AGREON
279	AHRENS ENGINEERING PTY. LTD.	AHRENS ENGINEERING
280	AID-IT! SOLUTIONS PTY LTD	AID-IT SOLUTIONS
281	AIM DIGITAL IMAGING	AIM DIGITAL IMAGING
282	AIMS INDEPENDENT COMPUTER PROF	AIMS INDEPENDENT COMPUTER PROF
283	AIMTEC PTY LTD	AIMTEC
284	AIMTEK PTY LTD	AIMTEK
285	AIPC BUSINESS CONSULTING GROUP	AIPC BUSINESS CONSULTING GROUP
286	AIR-MET SCIENTIFIC PTY. LTD.	AIR-MET SCIENTIFIC
287	AIRDATA PTY LIMITED	AIRDATA
288	AIRDATEC	AIRDATEC
289	AIRLECT CONTRACTING SERVICES	AIRLECT CONTRACTING SERVICES
290	AIRLOOM HOLDINGS LIMITED	AIRLOOM HOLDINGS
291	AIRPORT DATA & ELCTRICAL PTY LTD	AIRPORT DATA & ELECTRICAL
292	AIRPORT METALS (AUSTRALIA) PTY LTD	AIRPORT METALS
293	AIRS PTY. LTD.	AIRS
294	AIRSERVICES AUSTRALIA	AIRSERVICES
295	AISH DATA & DESIGN PTY LTD	AISH SOLUTIONS
296	AJF PROFESSIONAL SERVICES	AJF PROFESSIONAL SERVICES
297	AJILON AUSTRALIA PTY LTD	AJILON
298	AJQ PTY LIMITED	AJQ
299	AKAMAI TECHNOLOGIES NETHERLANDS B.V	AKAMAI TECHNOLOGIES
300	AL ABBAS TRADING CO	AL ABBAS TRADING CO
301	ALADN SYSTEMS SOLUTION PTY LTD	ALADN SYSTEMS SOLUTION
302	ALAMEIN CONSULTING PTY LTD	ALAMEIN CONSULTING
303	ALANTICX TECHNOLOGIES PTY LTD	ALANTICX TECHNOLOGIES
304	ALBERTNO NUNO TEIXEIRA	ALBERTNO NUNO TEIXEIRA
305	ALBURY COMPUTERS	ALBURY COMPUTERS
306	ALBURY LAMPS & TUBES	ALBURY LAMPS & TUBES
307	ALC TRAINING PTY LTD	ALC GROUP
308	ALCATEL-LUCENT	ALCATEL-LUCENT
309	ALCEDO SYSTEM ENGINEERING PTY LTD	ALCEDO SYSTEM ENGINEERING
310	ALDERSON CAMERA STORES PTY LTD	ALDERSON CAMERA STORES
311	ALELO TLT LLC	ALELO
312	ALEMIR INTERNATIONAL PTY. LTD.	ALEMIR INTERNATIONAL
313	ALENIA MARCONI LTD	ALENIA MARCONI
314	ALESE PTY LTD	ALESE
315	ALEXANDER JAMES (AUST.) PTY. LTD.	ALEXANDER JAMES
316	ALEXANDER TECHNOLOGY	ALEXANDER TECHNOLOGY
317	ALFA COMPUTERS PTY LTD	ALFA COMPUTERS
318	ALFA-TEK AUSTRALIA	ALFA-TEK
319	ALFATRON PTY LTD	ALFATRON
320	ALFEX CNC AUSTRALIA PTY LTD	ALFEX CNC
321	ALFRESCO DESIGN (AUST) PTY LIMITED	ALFRESCO DESIGN (AUST)
322	ALG AUSTRALIA PTY LTD	ALG
323	ALIENWARE CORPORATION (PACIFIC RIM) PTY LTD	ALIENWARE CORPORATION (PACIFIC RIM)
324	ALL A.V. PTY LIMITED	ALL A.V.
325	ALL BARCODES AUSTRALIA	ALL BARCODES
326	ALL INTERACTIVE	ALL INTERACTIVE
327	ALLANS MUSIC GROUP AUSTRALIA PTY LTD	ALLANS MUSIC GROUP
328	ALLCOM NETWORKS PTY LTD	ALLCOM NETWORKS
329	ALLEASING FINANCE AUSTRALIA LIMITED	ALLEASING
330	ALLEASING PTY LIMITED	ALLEASING
331	ALLEGRO RECRUITMENT CONSULTING LTD	ALLEGRO RECRUITMENT CONSULTING
332	ALLEGRO RECRUITMENT CONSULTING PTY LTD	ALLEGRO RECRUITMENT CONSULTING
333	ALLEN CONSULTING GROUP PTY. LTD.	ALLEN CONSULTING GROUP
334	ALLEN STENHOUSE	ALLEN STENHOUSE
335	ALLEN SYSTEMS GROUP INC	ASG SOFTWARE SOLUTIONS
336	ALLENS ARTHUR ROBINSON	ALLENS ARTHUR ROBINSON
337	ALLETTE SYSTEMS (AUSTRALIA) PTY. LTD.	ALLETTE SYSTEMS
338	ALLIANCE CONSULTING GROUP PTY LTD	ALLIANCE CONSULTING GROUP
339	ALLIANCE ELECTRIC PTY LTD	ALLIANCE SI
340	ALLIANCE EQUIPMENT FINANCE PTY LIMITED	ALLIANCE EQUIPMENT FINANCE
341	ALLIANCE RECRUITING	ALLIANCE RECRUITING
342	ALLIANCE SI	ALLIANCE SI
343	ALLIED COMMUNICATION SYSTEMS	ALLIED COMMUNICATION SYSTEMS
344	ALLIED COMMUNICATIONS INC	ALLIED COMMUNICATIONS
345	ALLIED DATA SYSTEMS PTY LTD	ALLIED DATA SYSTEMS
346	ALLIED TECHNOLOGIES AUSTRALIA PTY LIMITED	KLM GROUP
347	ALLIED TELESYN INTERNATIONAL (AUST.) PTY LIMITED	ALLIED TELESYN INTERNATIONAL
348	ALLOCATE SOFTWARE PTY LIMITED	ALLOCATE SOFTWARE
349	ALLOY COMPUTER PRODUCTS (AUSTRALIA) PTY. LTD.	ALLOY COMPUTER PRODUCTS
350	ALLPHONES PTY LTD	ALLPHONES
351	ALLSECURE-IT	ALLSECURE-IT
352	ALLSUNPLUS INC	ALLSUNPLUS
353	ALLTEQ PTY LTD	ALLTEQ
354	ALLTRACK GSE PTY LTD	ALLTRACK GSE
355	ALLVIS PTY LIMITED	ALLVIS
356	ALMOS SYSTEMS PTY LTD	ALMOS SYSTEMS
357	ALPHA COMPUTER (AUST.) PTY. LTD.	ALPHA COMPUTER
358	ALPHA COMPUTER CONSULTANTS PTY LTD	ALPHA COMPUTER CONSULTANTS
359	ALPHA CONSULTANTS	ALPHA CONSULTANTS
360	ALPHA DATA	ALPHA DATA
361	ALPHA ENERGY PTY LTD	ALPHA ENERGY
362	ALPHA IT SOLUTIONS PTY LTD	ALPHA IT SOLUTIONS
363	ALPHABET OFFICE SUPPLIES & SERVICE	ALPHABET OFFICE SUPPLIES & SERVICE
364	ALPHAWEST SERVICES PTY LTD	ALPHAWEST
365	ALSADA TECHNOLOGY PTY. LIMITED	ASD TECHNOLOGY
366	ALSTOM AUSTRALIA LIMITED	ALSTOM
367	ALTAIR ENGINEERING INC.	ALTAIR ENGINEERING
368	ALTAIR ENGINEERING INC. DIV HEADQUA	ALTAIR ENGINEERING
369	ALTARAMA INFORMATION SYSTEMS PTY LTD	ALTARAMA INFORMATION SYSTEMS
370	ALTASYS SOFTWARE PTY LTD	ALTASYS SOFTWARE
371	ALTECH COMPUTERS CORPORATION PTY LTD	ALTECH COMPUTERS CORPORATION
372	ALTERED STATED LTD	ALTERED STATED
373	ALTERNATE CONSTRUCTIONS PTY. LTD.	ALTERNATE CONSTRUCTIONS
374	ALTIA SOLUTIONS LIMITED	ALTIA SOLUTIONS
375	ALTIRIS AUSTRALIA PTY LIMITED	ALTIRIS
376	ALTIS CONSULTING PTY LTD	ALTIS CONSULTING
377	ALTIUM LIMITED	ALTIUM
378	ALTOVA GMBH	ALTOVA GMBH
379	ALTUM IT MANAGEMENT & CONSULTING PTY LIMITED	ALTUM IT MANAGEMENT & CONSULTING
380	ALZHEIMER'S AUSTRALIA INC	ALZHEIMER'S AUSTRALIA
381	AMALGEN TECHNOLOGIES PTY. LTD.	AMALGEN TECHNOLOGIES
382	AMARE SAFETY PTY. LTD.	AMARE SAFETY
383	AMBER TECHNOLOGY LIMITED	AMBER TECHNOLOGY
384	AMBER TECHNOLOGY PTY LTD	AMBER TECHNOLOGY
385	AMBIT GROUP PTY LIMITED	AMBIT GROUP
386	AMBITION RECRUIT PTY LIMITED	AMBITION GROUP
387	AMCOM PTY LTD	AMCOM
388	AMCOM TELECOMMUNICATIONS	AMCOM
389	AME SYSTEM PTY LTD	AME SYSTEM
390	AMERICAN ARIUM	AMERICAN ARIUM
391	AMERICAN COMPUTER HOME WL	AMERICAN COMPUTER HOME WL
392	AMERICAN EXPRESS INTERNATIONAL INC	AMERICAN EXPRESS INTERNATIONAL
