IdSon,Description,sonid,AustenderCategory,Status,internalcomment,ContractProcessingCategory,ContractProcessingSubCategory,IdCat,Title
15,Hardware aquisition and maintenance of equipment to support the ICT infrastructure,SON286598,Computer hardware maintenance or support,Active,,ICT,Uncategorised,7,
16,IT Professional services panel to provide; Program Consultancy services Continuous improvement services Application consultancy services Telecommunications consultancy services Technical consultancy services,SON310345,Information technology consultation services,Active,,IT Services,Uncategorised,11,
17,ICT Managed Services,SON269193,Computer hardware maintenance or support,Active,,IT Services,Managed Services,14,
18,Graphics System Replacement,SON100658,Components for information technology or broadcasting or telecommunications,Active,,ICT,Uncategorised,1,
19,Enterprise Data Storage Technology and Disaster Recovery Infrastructure and Associated Equipment,SON67198,Data storage,Active,,ICT,Uncategorised,9,
20,Provision of Rental Financing Facility for IT and Office Equipment,SON234404,Credit agencies,Active,,ICT,Uncategorised,7,
21,"Digital Media Presentation, Management And Online Engagement Services",SON263913,Telecommunications media services,Inactive,,Uncategorised,Uncategorised,17,
22,"Training Command-Army (TC-A) has a Standing Offer Panel for Vocational Education & Training (SOPVET). Service categories are: Defence Training Model Analysis, Design, Development, Evaluation; Specialsit Training Research & Consultancy; Management & Information Communication & Technology Consultancy; Course Administration and Training Support Recruitment Agency.",SON42172,Education and Training Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,19,
23,Provision of ICT Business Support Services,SON64416,Information technology consultation services,Active,,ICT,Uncategorised,47,
24,Master Leasing Facility for acquisition of IT equipment.,SON59102,Operating lease finance service,Active,,ICT,Uncategorised,7,
25,Development and maintenance of metadata collection and management tools,SON294834,Application implementation services,Active,,ICT,Uncategorised,17,
26,"Technical, Project Management, Documentation and Training Services",SON253476,Information technology consultation services,Active,,ICT,Uncategorised,47,
27,Deed of Standing Offer for the provision of financial and other consultancy services.,SON264607,Strategic planning consultation services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
28,Logistics Information Systems Software,SON300113,Information technology consultation services,Active,,ICT,Uncategorised,25,
29,Deed of Standing Offer for analyst's software and associated licences,SON291902,Software,Active,Date updated from 14/12/2013 to 14/12/2014 (SK 12/03/2014),ICT,Uncategorised,31,
30,"Printer, Photocopier, Scanner and Facsimile Equipment",SON51280,Printer and facsimile and photocopier supplies,Active,,Hardware,Printer and Printer Services,8,
31,Voice telecommunication and associated services,SON244485,Data Voice or Multimedia Network Equipment or Platforms and Accessories,Active,,ICT,Uncategorised,44,
32,091113 - Software Product Support,SON265931,Software maintenance and support,Active,,ICT,Uncategorised,18,
33,Provision of SAP Support and Maintenance,SON232421,Software maintenance and support,Active,,ICT,Uncategorised,18,
34,Provision of video confrencing system,SON231316,Phone and video conference equipment and hardware and controllers,Active,Date updated from 30/09/2013 to 30/09/2014 (SK 12/03/2014),ICT,Uncategorised,43,
35,"Expert (Economic, Financial and Technical) Consultancy Panel for the Australian Competition and Consumer Commission, including the Australia Energy Regulator (AER)",SON249943,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
36,"Provision of Software, Software Development, Support and Consulltancy Services",SON236880,Software,Active,,ICT,Uncategorised,48,
37,Information Technology Business Transformation Services,SON308684,Information technology consultation services,Active,,ICT,Uncategorised,47,
38,Provision of training services to Department of Defence,SON98662,Education and Training Services,Inactive,ATM ID: DBTC RFT CON G 001/2007,Uncategorised,Uncategorised,19,
39,Provision of ICT Professionals,SON196975,Information technology consultation services,Active,,IT Services,Uncategorised,13,
40,Provision for the Maintenance and Development of the e-tax System.,SON227214,Software maintenance and support,Active,,IT Services,SI Services,47,
41,Provision of CCTV and Security Related Installation and Maintenance Services under a Standing Offer Panel Arrangement,SON308571,Security surveillance and detection,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,17,
42,08/3281 - IT Consultancy and Support Services,SON223486,Information technology consultation services,Active,,ICT,Uncategorised,47,
43,Service Oriented Architecture Products and Services,SON190967,Computer Equipment and Accessories,Active,,ICT,Uncategorised,29,
44,Peoplesoft HRMS & FMIS Support & Maintenance Services,SON199453,ERP or database applications programming services,Active,,ICT,Uncategorised,18,
45,SmartForms solution. A panel of providers that can assist agencies in developing online forms.,SON227846,Components for information technology or broadcasting or telecommunications,Active,,ICT,Uncategorised,11,
46,Provision of Information Technology Training Services for Core End-User Services,SON182229,Education and Training Services,Active,,ICT,Uncategorised,19,
47,Provision of Online Content Writers/Producers,SON286439,Editorial and support services,Active,,ICT,Uncategorised,11,
48,Provision of Audio Visual and Teleconferencing Equipment and Services,SON183491,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,43,
49,Panel for the Provision of Recruitment Services,SON283168,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
50,Cabling Services,SON233113,Data services,Active,,ICT,Uncategorised,32,
51,Provision of office machines and accessories,SON179446,Office machines and their supplies and accessories,Active,,Hardware,Uncategorised,7,
52,Recruitment Services,SON189143,Personnel recruitment,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
53,Purchase of Hardware and Services for the OES Branch Infrastructure,SON286613,Computer hardware maintenance or support,Active,,ICT,Uncategorised,7,
54,ICT Infrastructure Support Services,SON200274,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,14,
55,"Supply, installation and support of a secure and roaming printing solution including network laser printers, multifunction devices and related services for the AFP's new headquarters project",SON277786,Computer printers,Active,,ICT,Uncategorised,8,
56,Symantec Asia Pacific Head Agreement for the provision of Software and services,SON200069,Software,Active,,ICT,Uncategorised,30,
57,ICT Training Services Panel,SON210621,Education and Training Services,Active,,ICT,Uncategorised,19,
58,Technical Architecture Integration Services - Software,SON300097,Information technology consultation services,Active,,ICT,Uncategorised,17,
59,Technical Architecture Integration Services - Software,SON300090,Information technology consultation services,Active,,ICT,Uncategorised,17,
60,Learning and Development services panel,SON182930,Education and Training Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,19,
61,Panel for provision of ICT products and associated services,SON169775,Communications Devices and Accessories,Active,,ICT,Uncategorised,7,
62,External Procurement Advisors Panel,SON161763,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
63,Broadcast Engineering Services and Personnel,SON161930,Information technology consultation services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
64,Deed of Standing Offer for purchase of desktop and portable PCs and maintenance services,SON160120,Desktop computers,Active,,ICT,Uncategorised,1,
65,Panel Arrangement to provide SAP Support Services,SON160262,Computer services,Active,,ICT,Uncategorised,18,
66,purchase of photocopiers,SON161801,Printer and photocopier and facsimile accessories,Active,,ICT,Uncategorised,8,
67,Assistance with the selection and recruitment of senior executive service and Executive level staff,SON169770,Personnel recruitment,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
68,Lease and Purchase of computer equipment and accessories.,SON254935,Computer Equipment and Accessories,Active,,ICT,Uncategorised,7,
69,Supply and management of digital recording media,SON150109,Media storage,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,9,
70,External Service Provider and Project Management and Support Services Panel,SON155495,Project management,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,52,
71,Management Consultancy Services Standing Offer Panel,SON167150,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,50,
72,Ageing and Aged Care Division's Data Warehouse (CASPER) Development Project.,SON187689,Information technology consultation services,Active,,ICT,Uncategorised,17,
73,Digital Receiver Conformance Testing Panel,SON301442,Components for information technology or broadcasting or telecommunications,Active,,Uncategorised,Uncategorised,40,
74,"The Provision of Stationery, Cut-Sheet Office Paper and Incidental IT Equipment and Software",SON63429,Stationery,Active,,Uncategorised,Uncategorised,7,
75,Supply and maintenance of Multi Functional Devices,SON41385,Photocopiers,Active,,ICT,Uncategorised,8,
76,Provision of Web Design and Development Services. Previously advertsied in GAPS ID 24844.,SON63852,World wide web WWW site design services,Active,,ICT,Uncategorised,17,
77,Simulation Support Services Standing Offer (SSSSO),SON162400,Computer based simulation training program services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),ICT,Uncategorised,19,
78,Head Agreement for the Provision of Microsoft Large Account Reseller Deliverables,SON211228,Software,Active,,Software,Microsoft,27,
79,Governance Services,SON241274,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,52,
80,Panel for Development of Corporate Support Systems,SON168417,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,17,
81,Provision of Consultancy Services,SON67304,Network applications software,Active,,ICT,Uncategorised,11,
82,Provision of a web based online recruitment system for the Department of Immigration and Citizenship,SON129146,Recruitment services,Active,,ICT,Uncategorised,25,
83,Panel for provision of application development services,SON131567,Software,Active,,ICT,Uncategorised,17,
84,Provision of Multi Function Devices and Printer Services to support Geoscience Australia's network envrionment,SON131873,Multifunction machines,Active,,ICT,Uncategorised,8,
85,Deed of Standing Offer for the Provision of Infrastucture Servers,SON137107,Computer servers,Active,,ICT,Uncategorised,14,
86,Business and Specialist Adviser Panel Arrangement,SON117492,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
87,Supply of notebook computers (manual transfer of information from GAPS SO ID 20271),SON247,Notebook computers,Active,,ICT,Uncategorised,4,
88,For provision of a facial recognition solution,SON117411,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,30,
89,Provision of IT Security Servces,SON129796,Computer services,Active,,ICT,Uncategorised,15,
90,Panel of providers for the provision of eLearning Support Services and Solutions,SON142489,Education and Training Services,Active,,Uncategorised,Uncategorised,19,
91,"Provision of professional, technical and consultancy services to Defence Science & Technology Organisation.",SON38576,Professional engineering services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
92,TRIM Training Services,SON222106,Education and Training Services,Active,,ICT,Uncategorised,19,
93,Provision of computing equipment to support Geoscience Australia's Windows/Linux Server Environment,SON169034,Computer servers,Active,,ICT,Uncategorised,5,
94,Storage Area Network hardware and related services,SON236594,Computer Equipment and Accessories,Active,,ICT,Uncategorised,9,
95,RFT for the supply of Scientific & Technical support services to the (BRS).,SON28856,Management and Business Professionals and Administrative Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
96,Software Services EMC Infra Pty Ltd NSW and Ingena Group Pty Ltd VIC,SON124837,Software,Active,,ICT,Uncategorised,47,
97,Deed of Standing Offer for the Provision of Services,SON139979,Information technology consultation services,Active,,ICT,Uncategorised,47,
98,Provision of applications development and support services. Previously advertised in GAPS 23366,SON58932,Application programming services,Active,,ICT,Uncategorised,17,
99,Project and engineering support services to the Department of Defence,SON194441,Professional engineering services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,53,
100,Project Support Services,SON72933,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
101,ICT People Services,SON34127,Temporary personnel services,Active,,ICT,Uncategorised,13,
102,Microsoft Master Services Agreement,SON34268,Office suite software,Active,,ICT,Uncategorised,27,
103,An expert panel to provide environmental health & related advice to the Commonwealth under Standing Offer Agreements,SON34769,Management and Business Professionals and Administrative Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
104,Selected IT Services,SON35586,Information technology consultation services,Active,,ICT,Uncategorised,15,
105,Provision of Information Technology Software,SON58560,Software,Active,,ICT,Uncategorised,28,
106,Software and Software Services Panel,SON68434,Software,Active,,Software,Uncategorised,28,
107,Panel for provision of information and communication technology services,SON85958,Computer services,Active,,IT Services,Uncategorised,47,
108,Provision of information communications and technology (ICT) and broadcasting services,SON94289,Communications Devices and Accessories,Active,,IT Services,Uncategorised,47,
109,"Maintenance, development and server hosting of the Monthly Publishing System",SON95160,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,17,
110,Provision of Contract/Consulting IT Audit Services,SON137116,Audit services,Active,,ICT,Uncategorised,11,
111,E-Learning System,SON239610,Education and Training Services,Active,,ICT,Uncategorised,48,
112,Services for the delivery of a platform refresh and upgrade to the ABR Business Name Register,SON260073,Application implementation services,Active,,IT Services,SI Services,17,
114,Provision of software and software support services,SON98767,Software,Active,,ICT,Uncategorised,28,
115,Provision of Hardware and Services to Support Geoscience Australia's Core Network Infrastructure,SON113536,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,7,
116,Provision of hardware and services to support Geoscience Australia's Sun Unix environment,SON169039,Computer servers,Active,,ICT,Uncategorised,5,
117,Provision Of IT Personnel,SON26578,Management support services,Active,,IT Services,Uncategorised,13,
118,Change Management Services,SON299989,Information technology consultation services,Active,,ICT,Uncategorised,11,
119,Network Infrastructure Panel,SON68428,Components for information technology or broadcasting or telecommunications,Active,,IT Services,Uncategorised,6,
120,Supply of WAN accelerators and related services,SON87838,Computer services,Active,,ICT,Uncategorised,6,
121,Supply of Edge Lan switches and related services,SON94453,Computer Equipment and Accessories,Active,,ICT,Uncategorised,6,
122,"Provision of Tape Library, Drives and Media for the Family Court",SON290439,Data Voice or Multimedia Network Equipment or Platforms and Accessories,Active,,ICT,Uncategorised,9,
123,Siebel Application Development Panel,SON90049,Software,Active,,ICT,Uncategorised,17,
124,Provision of Photocopiers and Multi Function Devices,SON73427,Office machines and their supplies and accessories,Active,,ICT,Uncategorised,8,
125,General Consultancy Services Panel,SON67861,Business and corporate management consultation services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
126,"Standing Offer for the Supply, Configuration and Warranty of Destop and Notebook Computers, Servers and Printers (IT Hardware)",SON106896,Computer Equipment and Accessories,Active,,ICT,Uncategorised,46,
127,Project Support Services,SON72937,Human resources services,Active,,ICT,Uncategorised,13,
128,Standing Offer for the Supply of Network Equipment and Associated Services,SON183464,Computer Equipment and Accessories,Active,,ICT,Uncategorised,6,
129,Provision of Select Recruitment Services,SON35,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
130,Panel of Non Ongoing Employees and Contract Staff for FaHCSIA,SON68225,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
131,Computer storage equipment and services.,SON235434,Computer Equipment and Accessories,Active,,ICT,Uncategorised,9,
132,Standing Offer for the Supply of Server Infrastructure and Associated Services,SON183429,Computer Equipment and Accessories,Active,,ICT,Uncategorised,5,
133,Technical Architecture and Audit Services,SON300099,Information technology consultation services,Active,,ICT,Uncategorised,47,
134,JP2077 Phase 2 Support to Functional - Project Management and Program Management Office Services,SON300912,Information technology consultation services,Active,,ICT,Uncategorised,11,
135,Strategic Change Consultancy Services,SON67014,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,11,
136,"The development, integration and support of command support systems for Joint Project 2030 Phase 8 (JP2030PH8) Joint Command Support Environment (JCSE).",SON272554,Software or hardware engineering,Active,,ICT,Uncategorised,47,
137,Supply and maintenance of desktop personal computers,SON67637,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,1,
138,"Provision of Sun Microsystems software, hardware and professional services",SON66160,Computer Equipment and Accessories,Active,,ICT,Uncategorised,47,
139,Provision of training services,SON67493,Education and Training Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,19,
140,Provision of Contract Labour,SON64674,Temporary personnel services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
141,Non-ongoing and Temporary Recruitment and Related Recruitment Services,SON160799,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
142,Services for development and implementation of corporate information systems and associated information technology requirements,SON169777,Information technology consultation services,Active,,ICT,Uncategorised,17,
143,"Panel for the provision of HP desktop PCs, notebook PCs, Intel Servers and IT leasing services",SON342,Computer Equipment and Accessories,Active,,ICT,Uncategorised,46,
144,"Provision of telecommunications, facilities management, teleconferencing and cabling services.",SON33610,Communications Devices and Accessories,Active,,ICT,Uncategorised,49,
145,IT staff - Panel,SON150361,Temporary technician staffing needs,Active,,ICT,Uncategorised,13,
146,Provision of Cabling and Rack Services,SON56591,Data services,Active,,Telecommunications,Cabling,32,
147,Provision of Cabling and Rack Services,SON114770,Data services,Active,,Telecommunications,Cabling,32,
148,IT peripherals Panel,SON341,Computer Equipment and Accessories,Active,,ICT,Uncategorised,1,
149,The provision of Tier 2 Benchmarking Services.,SON258903,Information technology consultation services,Active,,ICT,Uncategorised,11,
150,Toner supply services panel,SON275155,Stationery,Active,,ICT,Uncategorised,8,
151,Business Analysis services from SMS Consulting,SON302797,Business administration services,Active,,ICT,Uncategorised,11,
152,Senior Project Management Services,SON302999,Project management,Active,,ICT,Uncategorised,11,
153,Supply and installation of video conferencing and associated audio-visual equipment.,SON33568,Videoconferencing systems,Active,,ICT,Uncategorised,43,
154,Supply of Network Equipment and associated Services,SON155094,Components for information technology or broadcasting or telecommunications,Active,,ICT,Uncategorised,6,
155,Annual Support for Online Performance Assessment Tools,SON234686,Proprietary or licensed systems maintenance or support,Active,,ICT,Uncategorised,18,
156,SAP Support Panel,SON24,Software,Active,,ICT,Uncategorised,18,
157,SAP Support,SON208,Computer services,Active,,ICT,Uncategorised,18,
158,"Provision of Server Hardware, Maintenance and Support",SON50085,Computer servers,Active,,ICT,Uncategorised,5,
159,IT Consultancy Services,SON67020,Computer services,Active,,ICT,Uncategorised,11,
160,SAP Support Panel,SON118341,Information technology consultation services,Active,,ICT,Uncategorised,18,
161,Supply and maintenance of printers,SON50155,Computer printers,Active,,ICT,Uncategorised,8,
162,ATO Change Program - Head Agreement,SON215920,Engineering and Research and Technology Based Services,Active,,IT Services,SI Services,47,
163,Supply and maintenance of Internet Protocol (IP) telephony products,SON34600,Communications Devices and Accessories,Active,,ICT,Uncategorised,34,
164,"Software design and development for Defence Science and Technology Organisation, Department fo Defence.",SON46385,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,17,
165,ICT Technical & Related Services (Domestic and Overseas) Under a Panel Arrangement,SON72728,Computer services,Active,,ICT,Uncategorised,15,
166,ASIC Outsourcing,SON49453,Security surveillance and detection,Active,,Uncategorised,Uncategorised,14,
167,"Hardware - Communications, Server Room, TEMPEST, Video Conferencing and Printer",SON68421,Components for information technology or broadcasting or telecommunications,Active,,ICT,Uncategorised,46,
168,Optus - upgrade of local area network switching infrastructure.,SON59931,Fixed network equipment and components,Active,,ICT,Uncategorised,6,
169,"Software Reselling Services - Avoka Thechnologies Pty Ltd, Lightsource Technologies Aus Pty Ltd & Zallcom Pty Ltd",SON79605,Software,Active,,ICT,Uncategorised,28,
170,The Provision of services for the acquisition and sustainment functions of the Defence Materiel Organisation,SON48590,Management advisory services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,50,
171,supply and maintenance of network laser printers - monochrome and colour,SON46344,Laser printers,Active,,ICT,Uncategorised,8,
172,Provision of Information Technology Support Services,SON79966,Information technology consultation services,Active,,ICT,Uncategorised,13,
173,SAP IT Support Panel,SON86170,Software maintenance and support,Active,,ICT,Uncategorised,18,
175,Provision of Software Customisation & Professional Services,SON239651,Helpdesk or call centre software,Active,,ICT,Uncategorised,47,
176,"Deed of standing offer for support, maintenance and enhancement of the Departments's websites.",SON252296,Information technology consultation services,Active,,ICT,Uncategorised,47,
177,Software License Agreement (GEMS),SON137792,Expert system software,Active,,ICT,Uncategorised,28,
178,Provision of AIRS Support - CP31,SON131,Information technology consultation services,Active,,ICT,Uncategorised,17,
179,IT Services Panel,SON132602,Information technology consultation services,Active,,IT Services,Uncategorised,47,
180,Provision of personnel to support ICT market testing process,SON181730,Temporary personnel services,Active,,ICT,Uncategorised,47,
181,Information & Communications Technology Contractors and Ancillary Staff in Information Management.,SON138,Computer services,Active,,IT Services,Uncategorised,13,
182,Integration and Support Services for Command Support Systems for Joint Project 2030 Phase 8,SON272527,Software or hardware engineering,Active,,IT Services,SI Services,17,
183,Supply and Maintenance of Facsimile Equipment,SON38242,Office machines and their supplies and accessories,Active,,ICT,Uncategorised,8,
184,The Provision of Notebook Computers,SON37108,Notebook computers,Active,,ICT,Uncategorised,4,
185,Deed of Standing Offer for the provision of ICT Asset Management Services,SON238085,Software,Active,,ICT,Uncategorised,11,
186,Provision of Desktop Personal Computer and Portable Computer Solutions,SON34580,Desktop computers,Active,,ICT,Uncategorised,46,
187,Capital City WAN Services,SON105531,Communications Devices and Accessories,Active,,Telecommunications,Data Services,12,
188,Products and Services for Sytems for People Programme,SON55996,Information technology consultation services,Active,,IT Services,SI Services,47,
189,Project Support Services,SON72330,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),ICT,Uncategorised,13,
190,The Provision and Supply of Printers and Multifunction Devices to FaHCSIA including SSAT,SON124027,Computer printers,Active,,ICT,Uncategorised,8,
191,"Application, development and maintenance",SON131622,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,17,
192,Recruitment Services for Executive and Specialist Positions,SON216,Management and Business Professionals and Administrative Services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
193,Multi media services panel,SON37110,Multimedia service centre,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,15,
194,Provision of IT Advisory Services,SON35564,Management advisory services,Active,,ICT,Uncategorised,11,
195,The provision of Technology Advice Services,SON44194,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,11,
196,PNG _ Media Development Initiative,SON119885,Components for information technology or broadcasting or telecommunications,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),ICT,Uncategorised,15,
197,IT Contractor and Non-Ongoing Personnel,SON36447,Temporary personnel services,Active,,IT Services,Uncategorised,13,
198,For the Provision of Recruitment Services - Panel Member,SON25,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
199,Provision of Secure hard drive.,SON223462,Computer Equipment and Accessories,Active,,ICT,Uncategorised,9,
200,Supply and Maintenance of Photocopiers,SON37336,Printer and photocopier and facsimile accessories,Active,,ICT,Uncategorised,8,
201,Communications Services Panel,SON110207,Information Technology Broadcasting and Telecommunications,Active,,ICT,Uncategorised,40,
202,Information Technology training services,SON26548,Education and Training Services,Active,,ICT,Uncategorised,19,
203,Software Maintenance Services,SON72444,Software maintenance and support,Active,,ICT,Uncategorised,18,
204,"Provision of non permanent and non ongoing recruitment services at the Senior Executive , Specialist and General recruitment levels across Australia for any category or discipline of civilian worker within the Defence Organisation.",SON26835,Human resources services,Inactive,This panel was originally uploaded as 'active' because it was a mixed panel. However it has since been marked inactive by HF & SK (SK 11/04/2013),Uncategorised,Uncategorised,13,
205,Provide ICT Cabling Services,SON321962,Data services,Active,,ICT,Uncategorised,32,
206,Software Licences and Related Services,SON302666,Software,Active,,Software,ERP,28,
